timestamp,track_id,event,zone,duration,frame
13.58,212,ENTER_ZONE,Kitchen,0.00,407
13.61,30,ENTER_ZONE,Kitchen,0.00,408
13.61,212,EXIT_ZONE,Kitchen,0.03,408
13.65,234,ENTER_ZONE,Kitchen,0.00,409
13.71,218,ENTER_ZONE,Kitchen,0.00,411
13.71,30,EXIT_ZONE,Kitchen,0.10,411
13.81,212,ENTER_ZONE,Kitchen,0.00,414
13.81,30,ENTER_ZONE,Kitchen,0.00,414
13.81,218,EXIT_ZONE,Kitchen,0.10,414
13.81,155,EXIT_ZONE,Kitchen,1.30,414
13.81,228,EXIT_ZONE,Kitchen,0.37,414
13.85,242,ENTER_ZONE,Kitchen,0.00,415
13.85,218,ENTER_ZONE,Kitchen,0.00,415
13.85,212,EXIT_ZONE,Kitchen,0.03,415
13.91,155,ENTER_ZONE,Kitchen,0.00,417
13.91,228,ENTER_ZONE,Kitchen,0.00,417
13.91,218,EXIT_ZONE,Kitchen,0.07,417
13.91,242,EXIT_ZONE,Kitchen,0.07,417
13.91,30,EXIT_ZONE,Kitchen,0.10,417
13.95,243,ENTER_ZONE,Kitchen,0.00,418
13.95,244,ENTER_ZONE,Kitchen,0.00,418
14.01,242,ENTER_ZONE,Kitchen,0.00,420
14.01,243,EXIT_ZONE,Kitchen,0.07,420
14.01,228,EXIT_ZONE,Kitchen,0.10,420
14.11,228,ENTER_ZONE,Kitchen,0.00,423
14.11,242,EXIT_ZONE,Kitchen,0.10,423
14.11,244,EXIT_ZONE,Kitchen,0.17,423
14.21,254,ENTER_ZONE,Kitchen,0.00,426
14.21,30,ENTER_ZONE,Kitchen,0.00,426
14.21,155,EXIT_ZONE,Kitchen,0.30,426
14.31,244,ENTER_ZONE,Kitchen,0.00,429
14.38,242,ENTER_ZONE,Kitchen,0.00,431
14.38,228,EXIT_ZONE,Kitchen,0.27,431
14.45,244,EXIT_ZONE,Kitchen,0.13,433
14.48,256,ENTER_ZONE,Kitchen,0.00,434
14.48,257,ENTER_ZONE,Kitchen,0.00,434
14.51,218,ENTER_ZONE,Kitchen,0.00,435
14.51,155,ENTER_ZONE,Kitchen,0.00,435
14.51,256,EXIT_ZONE,Kitchen,0.03,435
14.51,257,EXIT_ZONE,Kitchen,0.03,435
14.55,261,ENTER_ZONE,Kitchen,0.00,436
14.55,256,ENTER_ZONE,Kitchen,0.00,436
